Architecture,threshold,N_seeds,axial_symmetry_mean,axial_symmetry_between_seed_SD,n_components_mean,n_components_between_seed_SD,largest_component_ratio_mean,largest_component_ratio_between_seed_SD,small_fragment_count_mean,small_fragment_count_between_seed_SD,foreground_fraction_mean,foreground_fraction_between_seed_SD
DCGAN,0.45,3,0.8289228683312735,0.014509443818097734,6.026,0.5492212668861248,0.9445063543321162,0.0025536893984983234,3.8593333333333337,0.49650914728062495,0.6995595703125,0.012866185671005176
DCGAN,0.5,3,0.829751994172732,0.014445934997926074,4.680666666666666,0.5734608385350597,0.9431523699983252,0.002043150550681249,2.425333333333333,0.4571928841674303,0.6856881510416667,0.012104401250766691
DCGAN,0.55,3,0.8313030478556951,0.014378364570616578,4.312,0.6024084992760312,0.9418612966797185,0.0024600521873749358,1.982,0.49671319692554966,0.6718015950520834,0.01168470827035297
DCGAN,0.6,3,0.8337899216016132,0.01439991703670891,4.428666666666667,0.6647265101779326,0.9428912360528975,0.002573812127273228,1.9879999999999998,0.5731282578969563,0.6559013671875,0.011612937524394094
DCGAN,0.65,3,0.8376445705890655,0.014636132994946148,6.006,0.9376929134850067,0.942698041930603,0.001249835818941063,3.186,0.7981202916854077,0.63178564453125,0.01258731924910264
WGAN-GP,0.45,3,0.8622494530280432,0.012085339021262244,4.782666666666667,1.702732314056832,0.9558406748745756,0.0030314459976314976,2.706,1.5854740615979817,0.7165584309895833,0.002540531676307867
WGAN-GP,0.5,3,0.8631796051661174,0.011762397274308325,3.998666666666667,0.8560942315734484,0.9546113424389056,0.0029610052300100467,1.7673333333333332,0.7503181547405963,0.6928274739583333,0.0016181764634800337
WGAN-GP,0.55,3,0.8651987772782643,0.011631269390654841,3.776666666666667,0.43070794435827797,0.9534930042631444,0.0033696445117427465,1.3906666666666665,0.3330665599145812,0.6701710611979167,0.0035654449448633127
WGAN-GP,0.6,3,0.868626762787501,0.011623832696835777,4.292000000000001,0.4025866366386248,0.9572126474913466,0.004775687104816217,1.6966666666666665,0.2570162121994124,0.6450091145833334,0.005469681891106994
WGAN-GP,0.65,3,0.8740421321789423,0.011660928787046354,6.1546666666666665,0.7373719097804942,0.9570181550124778,0.0044568604438018295,3.548666666666667,0.7574941143885763,0.6035704752604166,0.013512489063824313
